,v1,v2
4790,ham,Send me your resume:-)
1932,ham,Jus finished avatar nigro
2522,ham,Dunno lei... I might b eatin wif my frens... If Ì_ wan to eat then i wait 4 Ì_ lar
4445,ham,Merry christmas to u too annie!
4768,ham,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
2459,ham,Nope. Meanwhile she talk say make i greet you.
3379,ham,Just finished. Missing you plenty
58,ham,Tell where you reached
76,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
796,spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
4450,ham,"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad."""
4037,ham,Hope you are not scared!
785,ham,"She was supposed to be but couldn't make it, she's still in town though"
2523,ham,"Sorry, I'll call later"
4604,ham,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?"
2217,ham,* Will have two more cartons off u and is very pleased with shelves
3698,ham,How i noe... Did Ì_ specify da domain as nusstu... ÌÏ still in sch...
5153,ham,Haven't left yet so probably gonna be here til dinner
4119,ham,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
2924,ham,Are you coming to day for class.
4305,ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
910,ham,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
2172,ham,Yavnt tried yet and never played original either
4414,ham,"Yeah I should be able to, I'll text you when I'm ready to meet up"
5221,ham,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
1257,ham,Am also doing in cbe only. But have to pay.
4765,ham,Whens your radio show?
4373,ham,K and you're sure I don't have to have consent forms to do it :V
1178,ham,"I'm outside islands, head towards hard rock and you'll run into me"
4201,ham,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*
5285,spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
442,ham,Oic... I saw him too but i tot he din c me... I found a group liao...
3550,ham,I love you both too :-)
2980,ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
4740,ham,Many more happy returns of the day. I wish you happy birthday.
5315,ham,Hahaha..use your brain dear
1054,ham,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
2323,ham,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
4326,ham,Dude got a haircut. Now its breezy up there
5244,ham,thanks for the temales it was wonderful. Thank. Have a great week.
4059,spam,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!"
4753,ham,Ok lor... Or u wan me go look 4 u?
2586,ham,If you don't respond imma assume you're still asleep and imma start calling n shit
2420,ham,Oic... Then better quickly go bathe n settle down...
4056,ham,Noice. Text me when you're here
1502,ham,Don no da:)whats you plan?
4749,ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
4781,ham,"Call me, i am senthil from hsbc."
2011,ham,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1."
4229,ham,And several to you sir.
2671,ham,"That's cool, I'll come by like  &lt;#&gt; ish"
4498,spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
4216,ham,Will be office around 4 pm. Now i am going hospital.
6,ham,Even my brother is not like to speak with me. They treat me like aids patent.
678,ham,Cause I'm not freaky lol
1943,ham,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
3240,ham,Ok i've sent u da latest version of da project.
5133,ham,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
4461,ham,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?"
4284,ham,I pocked you up there before
3107,ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
5130,ham,Any way where are you and what doing.
1064,ham,"That's fine, I'll bitch at you about it later then"
3254,ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
2242,ham,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.
1474,ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
4839,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
1889,ham,I gotta collect da car at 6 lei.
4153,ham,Haf u eaten? Wat time u wan me 2 come?
2021,ham,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
4390,ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
4196,spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
3268,ham,Raviyog Peripherals bhayandar east
1130,ham,Howz pain?hope u r fine..
1461,ham,Kinda. First one gets in at twelve! Aah. Speak tomo
2741,spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
5049,ham,I will vote for wherever my heart guides me
2882,ham,Anything lor is she coming?
2851,ham,how tall are you princess?
222,ham,"Sorry, I'll call later"
5170,ham,I'm in school now n i'll be in da lab doing some stuff give me a call when Ì_ r done.
48,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
573,ham,Waiting for your call.
1236,ham,How much are we getting?
4245,ham,Well welp is sort of a semiobscure internet thing
5402,ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
5012,ham,"Uncle G, just checking up on you. Do have a rewarding month"
2282,ham,Whom you waited for yesterday
267,spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
1104,spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
2305,ham,Still in the area of the restaurant. Ill try to come back soon
5368,spam,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!
1935,ham,Did either of you have any idea's? Do you know of anyplaces doing something?
386,ham,Customer place i will call you.
4093,ham,how are you? I miss you!
3825,ham,"Goodmorning,my grandfather expired..so am on leave today."
5047,ham,Yeah so basically any time next week you can get away from your mom &amp; get up before 3
4882,ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
1563,ham,Get ready to put on your excellent sub face :)
4540,ham,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?
209,ham,Both :) i shoot big loads so get ready!
909,spam,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
1289,ham,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May"
4213,ham,Ard 530 like dat lor. We juz meet in mrt station then Ì_ dun haf to come out.
3625,ham,Yeah right! I'll bring my tape measure fri!
1842,ham,"\Are you comingdown later?\"""""
4561,ham,How much u trying to get?
4260,ham,Pls dont forget to study
958,ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
1793,ham,You bad girl. I can still remember them
2088,spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50
331,ham,Maybe i could get book out tomo then return it immediately ..? Or something.
2908,spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only
4354,ham,"Sorry, I can't help you on this."
2605,ham,"\HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!\"""""
1774,ham,"Its ok chikku, and its my 1 of favourite song..:-)"
3544,ham,Thank You meet you monday
4023,ham,Wat time Ì_ wan today?
4528,ham,"Hiya, probably coming home * weekend after next"
2498,ham,"I know where the  &lt;#&gt;  is, I'll be there around 5"
3286,ham,"The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard"
3477,ham,I can ask around but there's not a lot in terms of mids up here
1710,ham,"(No promises on when though, haven't even gotten dinner yet)"
4262,ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
1366,ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
173,ham,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
4320,ham,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;"
4109,ham,"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack"
2521,ham,"Sorry, I'll call later"
4863,ham,Sorry da..today i wont come to play..i have driving clas..
1952,ham,Nah im goin 2 the wrks with j wot bout u?
2926,ham,Ok... U enjoy ur shows...
2036,ham,You can jot down things you want to remember later.
3386,ham,So u workin overtime nigpun?
4082,ham,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you."
4688,ham,"Didn't try, g and I decided not to head out"
0,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
2174,ham,See? I thought it all through
1356,ham,U ned to convince him tht its not possible witot hurting his feeling its the main
4154,spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
2765,ham, and  picking them up from various points
2748,ham,Send his number and give reply tomorrow morning for why you said that to him like that ok
396,ham,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
4195,ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
2915,ham,What time should I tell my friend to be around?
1812,ham,"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\"""""
3148,ham,"Sorry,  in meeting I'll call you later"
5236,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
816,ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
1572,spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
3667,ham,Thanks for loving me so. You rock
1800,ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
2280,ham,R Ì_ comin back for dinner?
5407,ham,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if Ì_ leaving earlier or wat mah cos mayb Ì_ haf to walk v far...
4220,ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
2859,ham,I want to be there so i can kiss you and feel you next to me
4812,ham,i can call in  &lt;#&gt;  min if thats ok
3370,ham,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
3008,spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
3774,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
3742,ham,"Nah, Wednesday. When should I bring the mini cheetos bag over?"
3918,ham,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!
554,ham,I‰Û÷ll have a look at the frying pan in case it‰Û÷s cheap or a book perhaps. No that‰Û÷s silly a frying pan isn‰Û÷t likely to be a book
1159,ham,Yun buying... But school got offer 2000 plus only...
1213,ham,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!"
4899,spam,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
1325,ham,Yeah jay's sort of a fucking retard
2860,ham,I am not at all happy with what you saying or doing
2922,ham,Fine am simply sitting.
700,ham,How much r Ì_ willing to pay?
3908,ham,Serious? What like proper tongued her
4576,spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records"
4096,ham,i am going to bed now prin
1455,spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
4669,ham,"I didnt get ur full msg..sometext is missing, send it again"
3114,ham,I wait 4 Ì_ inside da car park...
5192,ham,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
866,ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
1644,ham,India have to take lead:)
3931,ham,Sos! Any amount i can get pls.
4689,ham,Ok no prob
3149,ham,Yo! Howz u? girls never rang after india. L
1490,ham,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
2685,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
729,ham,Dunno y u ask me.
3357,ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
5189,spam,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
1936,ham,My planning usually stops at \find hella weed
3509,ham,I just saw ron burgundy captaining a party boat so yeah
1110,ham,Ok ill tell the company
4531,ham,Ok both our days. So what are you making for dinner tonite? Am I invited?
4984,ham,Dont let studying stress you out. L8r.
2394,ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
1185,ham,Annoying isn't it.
2007,ham,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.
193,ham,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
1515,ham,I wonder if you'll get this text?
578,spam,"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321."
2123,spam,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
1429,spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
771,ham,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? 
2395,ham,"Babe, I'm back ... Come back to me ..."
5516,ham,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards..."
1846,ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
131,ham,"Dear, will call Tmorrow.pls accomodate."
178,ham,Text her. If she doesnt reply let me know so i can have her log in
4979,ham,So what u doing today?
3489,ham,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  
4215,ham,Er mw im filled tuth is aight
3159,ham,How much did ur hdd casing cost.
4726,spam,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call"
3480,ham,Wherre's my boytoy ? :-(
2073,spam,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
658,ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com"
1896,ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
4101,ham,Ok then i will come to ur home after half an hour
2221,ham,I notice you like looking in the shit mirror youre turning into a right freak
5277,ham,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ..."
2379,ham,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything."
3839,ham,HEY MATE! HOWS U HONEY?DID U AVE GOOD HOLIDAY? GIMMI DE GOSS!x
342,ham,Where u been hiding stranger?
5042,ham,O ic lol. Should play 9 doors sometime yo
727,ham,"Alright omw, gotta change my order to a half8th"
4393,ham,Baaaaaaaabe! Wake up ! I miss you ! I crave you! I need you!
976,ham,Ok i shall talk to him
5357,ham,Ok
3684,ham,Wake me up at  &lt;#&gt;  am morning:)
1928,spam,Call from 08702490080 - tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
3221,ham,"Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !"
4009,spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
1299,ham,Great to hear you are settling well. So what's happenin wit ola?
4454,ham,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"
5122,ham,"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\"""""
660,ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
1790,ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
3565,ham,Its ok..come to my home it vl nice to meet and v can chat..
3442,ham,Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.
3680,ham,LOL what happens in Vegas stays in vegas
2707,spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
3830,ham,Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?
2705,ham,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
3646,ham,"Hey babe, my friend had to cancel, still up for a visit ?"
5135,ham,Sorry * was at the grocers.
1085,ham,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)"
3951,ham,Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... 
1278,ham,Can i meet Ì_ at 5.. As 4 where depends on where Ì_ wan 2 in lor..
3799,spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime any networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW
1621,ham,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
4741,ham,Ya very nice. . .be ready on thursday
5105,ham,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob
67,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
3184,ham,MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.
2622,ham,Ok lor...
2269,ham,Haha i think i did too
5070,ham,As in different styles?
4395,ham,Dear :-/ why you mood off. I cant drive so i brother to drive
820,ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
1226,spam,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
3704,ham,Ok. Very good. Its all about making that money.
4662,ham,No. Yes please. Been swimming?
2367,ham,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)
2647,ham,"It,,s a taxt massage....tie-pos argh ok! Lool!"
4675,ham,ÌÏ ready then call me...
2512,ham,"Hiya , have u been paying money into my account? If so, thanks. Got a pleasant surprise when i checked my balance -u c, i don't get statements 4 that acc"
4969,ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that
4750,spam,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n
4307,ham,Ha ha - had popped down to the loo when you hello-ed me. Hello!
1143,ham,And is there a way you can send shade's stuff to her. And she has been wonderful too.
397,ham,"You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated."
4945,ham,I'm already back home so no probably not
4785,ham,Holy living christ what is taking you so long
3412,ham,Where do you need to go to get it?
1398,ham,No did you check? I got his detailed message now
1659,ham,"Yeah, where's your class at?"
2220,ham,But really quite funny lor wat... Then u shd haf run shorter distance wat...
979,ham,Another month. I need chocolate weed and alcohol.
2331,ham,At home by the way
1298,ham,Your daily text from me ‰ÛÒ a favour this time
2802,spam,FreeMsg>FAV XMAS TONES!Reply REAL
82,ham,Ok i am on the way to home hi hi
3460,ham,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4..."
3285,ham,Not to worry. I'm sure you'll get it.
4359,ham,"Night sweet, sleep well! I've just been to see The Exorcism of Emily Rose and may never sleep again! Hugs and snogs! "
4392,spam,RECPT 1/3. You have ordered a Ringtone. Your order is being processed...
3621,ham,Goin to workout lor... Muz lose e fats... 
423,spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
4829,ham,"The word \Checkmate\"" in chess comes from the Persian phrase \""Shah Maat\"" which means; \""the king is dead..\"" Goodmorning.. Have a good day..:)"""
1904,ham,Wah... Okie okie... Muz make use of e unlimited... Haha... 
5058,spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674
1530,ham,I think chennai well settled?
3841,ham,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season."
1565,ham,"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
4126,ham,"Sorry, I'll call later"
839,spam,Last chance 2 claim ur å£150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. å£3.00 Sub. 16 . Remove txt X or STOP
500,ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
141,ham,"Sir, Waiting for your mail."
1377,spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56
4334,ham,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
5460,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
2266,spam,<Forwarded from 88877>FREE entry into our å£250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
2644,ham,My friends use to call the same.
1138,ham,What * u wearing?
2257,ham,Here got lots of hair dresser fr china.
3139,spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP
1787,ham,Yes:)sura in sun tv.:)lol.
3167,ham,Ugh hopefully the asus ppl dont randomly do a reformat.
550,ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
3838,ham,"Erm ‰Û_ ill pick you up at about 6.45pm. That'll give enough time to get there, park and that."
2019,ham,From tomorrow onwards eve 6 to 3 work.
948,ham,Chk in ur belovd ms dict
3585,spam,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end
2715,ham,Cool. I am  &lt;#&gt;  inches long. hope you like them big!
532,ham,Gudnite....tc...practice going on
5481,ham,Shall call now dear having food
1829,spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
3606,ham,I have no idea where you are
4925,ham,"Oh yes, why is it like torture watching england?"
4442,ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
2943,spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.
1602,ham,Ok pa. Nothing problem:-)
2238,ham,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is
639,ham,I had askd u a question some hours before. Its answer
5382,ham,"I can make it up there, squeezed  &lt;#&gt;  bucks out of my dad"
967,ham,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.
4714,ham,S:)8 min to go for lunch:)
5220,ham,I have to take exam with in march 3
1683,ham,Already am squatting is the new way of walking
2248,ham,will you like to be spoiled? :)
3634,ham,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
4983,spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
2893,ham,K...k...yesterday i was in cbe .
155,ham,Aaooooright are you at work?
2295,ham,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX
3071,ham,Ok lor... But buy wat?
